City,Latitude,Longitude,ID
An Giang,10.5185,105.1152,168
Bà Rịa – Vũng Tàu,10.4114,107.1362,327
Bắc Giang,21.2731,106.1946,849
Bắc Kạn,22.147,105.8326,193
Bạc Liêu,9.2941,105.7242,496
Bắc Ninh,21.1861,106.0763,707
Bến Tre,10.2424,106.3752,833
Bình Định,13.782,109.2194,133
Bình Dương,11.0531,106.6661,951
Bình Phước,11.7516,106.8778,347
Bình Thuận,10.9333,108.1,784
Cà Mau,9.1769,105.1501,365
Cần Thơ,10.0451,105.7462,620
Cao Bằng,22.6661,106.2635,910
Đà Nẵng,16.0471,108.2068,590
Đắk Lắk,12.6667,108.05,196
Đắk Nông,12.0,107.7,132
Điện Biên,21.3833,103.0167,811
Đồng Nai,10.9575,106.8427,278
Đồng Tháp,10.4552,105.6323,813
Gia Lai,13.9833,108.0,797
Hà Giang,22.8233,104.9836,385
Hà Nam,20.5463,105.9142,696
Hà Nội,21.0285,105.8542,701
Hà Tĩnh,18.3421,105.9038,645
Hải Dương,20.9391,106.3146,215
Hải Phòng,20.8449,106.6881,237
Hậu Giang,9.7845,105.4735,463
Hòa Bình,20.8171,105.3375,511
Hưng Yên,20.6465,106.0511,669
Khánh Hòa,12.2467,109.1833,684
Kiên Giang,10.0122,105.0809,767
Kon Tum,14.35,108.0,226
Lai Châu,22.3959,103.4621,960
Lâm Đồng,11.9404,108.4419,122
Lạng Sơn,21.8519,106.7614,861
Lào Cai,22.4856,103.9707,108
Long An,10.5332,105.4053,255
Nam Định,20.4231,106.1681,160
Nghệ An,18.6667,105.6667,495
Ninh Bình,20.2506,105.9744,416
Ninh Thuận,11.5647,108.9892,208
Phú Thọ,21.3235,105.4011,252
Phú Yên,13.0883,109.3045,249
Quảng Bình,17.4731,106.5962,981
Quảng Nam,15.5667,108.4833,149
Quảng Ngãi,15.1205,108.7925,164
Quảng Ninh,20.95,107.0833,688
Quảng Trị,16.75,107.1833,123
Sóc Trăng,9.6019,105.9731,547
Sơn La,21.3262,103.9149,503
Tây Ninh,11.3125,106.1006,915
Thái Bình,20.4463,106.3364,872
Thái Nguyên,21.5939,105.8481,110
Thanh Hóa,19.8075,105.7764,454
Thừa Thiên Huế,16.4633,107.5847,326
Tiền Giang,10.3606,106.3636,146
TP. Hồ Chí Minh,10.8231,106.6297,521
Trà Vinh,9.9342,106.3339,587
Tuyên Quang,21.8159,105.2132,275
Vĩnh Long,10.2536,105.9723,920
Vĩnh Phúc,21.3089,105.6047,456
Yên Bái,21.7051,104.8751,734
Hoàng Sa,16.641233,112.742024,288
Trường Sa,10.66936,115.833324,201
Phú Quốc,10.279526,104.003538,729
