Country,City,Latitude,Longitude,ID
Russian Federation,Volgograd,48.71939,44.50183,1022
Algeria,Setif,36.19112,5.41373,1439
Suriname,Stoelmanseiland,4.35478,-54.42058,2087
Sudan,Kassala,15.45099,36.39998,1537
Vanuatu,Luganville,-15.51989,167.16235,674
Italy,Catania,37.49223,15.07041,2071
Belgium,Merelbeke,50.99447,3.74621,2650
Saudi Arabia,Al-Baha,20.29513,41.64016,862
Australia,Esperance,47.78899,-122.35541,399
Japan,Sendai,38.26667,140.86667,182
Pakistan,Islamabad,33.72148,73.04329,223
Mexico,Jalapa,14.63472,-89.98889,1286
Nepal,Pokhara,28.26689,83.96851,2104
China,Xiamen,24.47979,118.08187,563
Armenia,Jermuk,39.83948,45.67112,2080
Australia,Longerenong,-36.683,142.344,1690
Belgium,Wanze,50.53907,5.20846,2832
Kenya,Wajir,1.7471,40.05732,2953
United Republic of Tanzania,Dodoma,-6.17221,35.73947,667
Viet Nam,Tây Ninh,11.3125,106.1006,915
Belgium,Namur,50.4669,4.86746,2670
France,Tarbes,43.23407,0.07139,3586
Belgium,Bilzen,50.87325,5.5184,2351
Venezuela,Santa Elena De Uairen,4.60226,-61.11025,2064
United States,Rhode Island,41.680893,-71.51178,3838
Tajikistan,Khorog,37.48974,71.55304,911
Italy,Verona,45.43854,10.9938,2077
Madagascar,Ranohira,-22.48333,45.4,3005
Mongolia,Ulaanbaatar,47.90771,106.88324,229
India,Kolkata,22.56263,88.36304,225
Australia,Strathbogie,-36.85,145.75,1733
India,Baroda,41.95754,-86.48557,1571
Australia,Townsville,-19.26639,146.8057,321
Benin,Ouidah,6.36307,2.08506,2213
Gambia (The),Kaur,25.8951,65.56237,3528
Panama,Bocas del Toro,9.34031,-82.24204,1245
Switzerland,Lugano,46.01008,8.96004,313
Syrian Arab Republic,Lattakia,35.40109,35.94868,1263
Australia,Port Arthur,29.88519,-93.94233,1719
Austria,Klagenfurt,46.62472,14.30528,904
Nepal,Kathmandu,27.70169,85.3206,114
Tunisia,Tunis-Carthage,36.85103,10.22722,243
Kenya,Mombasa,-4.05466,39.66359,520
Belgium,Ath,37.98376,23.72784,2317
Russian Federation,Kaliningrad,54.70649,20.51095,977
Paraguay,Encarnacion,-27.33056,-55.86667,1177
Qatar,Dukhan,25.42485,50.78227,1881
Mozambique,Chimoio,-19.11639,33.48333,125
United Kingdom of Great Britain and Northern Ireland,Exeter,50.7236,-3.52751,34
Belgium,Rebecq,50.66597,4.13202,2727
France,Arras,50.29301,2.78186,3584
Belgium,Braine-Le-Comte,50.60979,4.14658,2368
Belgium,Wevelgem,50.8,3.16667,2846
Hungary,Gyor,47.68333,17.63512,61
Spain,Las Palmas de Gran Canaria,28.09973,-15.41343,1234
France,Le Lamentin,14.61341,-60.99964,307
Viet Nam,Sóc Trăng,9.6019,105.9731,547
Australia,Newcastle,-27.75796,29.9318,319
Mozambique,Xai-Xai,-25.05194,33.64417,127
India,Amritsar,31.62234,74.87534,1567
Colombia,Mocoa,1.15284,-76.65208,1327
Belgium,Merchtem,50.95129,4.23197,2649
Sweden,Umea,63.82842,20.25972,3022
Afghanistan,Kabul,34.52813,69.17233,219
Russian Federation,Brjansk,53.21419,34.17645,979
Portugal,Aveiro,40.64427,-8.64554,2219
Mozambique,Inhambane,-23.865,35.38333,126
Malaysia,Sibu,2.3,111.81667,90
Belgium,Chimay,50.04856,4.31712,2392
