Country,City,CityId,Latitude,Longitude
Afghanistan,Herat,1183,34.220000000,62.220000000
Afghanistan,Kabul,219,34.550000000,69.220000000
Algeria,Algiers,242,36.700000000,3.220000000
Algeria,Annaba,1434,36.900000000,7.760000000
Algeria,Bechar,1435,31.610000000,-2.220000000
Algeria,Biskra,1436,34.860000000,5.730000000
Algeria,Constantine,1359,36.360000000,6.610000000
Algeria,Djanet,1437,24.550000000,9.480000000
Algeria,Djelfa,1438,34.680000000,3.250000000
Algeria,Ghardaia,1360,32.490000000,3.680000000
Algeria,Oran,1361,35.710000000,-0.640000000
Algeria,Setif,1439,36.190000000,5.410000000
Algeria,Tamanrasset,1362,22.790000000,5.530000000
Algeria,Tlemcen,1440,34.800000000,-1.430000000
Angola,Luanda,261,-8.780000000,13.220000000
Antigua and Barbuda,St. John's Antigua,151,17.120000000,-61.830000000
Argentina,Bariloche,858,-41.150000000,-71.170000000
Argentina,Buenos Aires,294,-34.580000000,-58.480000000
Argentina,Cordoba,855,-31.320000000,-64.220000000
Argentina,El Calafate,2205,-50.280000000,-72.050000000
Argentina,Iguazu,857,-25.600000000,-54.570000000
Argentina,Mar del Plata,2206,-37.933333000,-57.583333000
Argentina,Mendoza,856,-32.830000000,-68.780000000
Argentina,Salta,2207,-24.850000000,-65.483333000
Argentina,Trelew,2208,-43.200000000,-65.266667000
Argentina,Ushuaia,859,-54.800000000,-68.320000000
Armenia,Dilijan,2079,40.741944000,44.863611000
Armenia,Jermuk,2080,39.832500000,45.670278000
Armenia,Kapan,69,39.180000000,46.380000000
Armenia,Sevan,68,40.530000000,44.930000000
Armenia,Vanadzor,67,40.800000000,44.470000000
Armenia,Yerevan,66,40.130000000,44.470000000
Australia,Adelaide,315,-34.960000000,138.530000000
Australia,Adventure Bay,1801,-43.350000000,147.320000000
Australia,Albany,356,-34.940000000,117.800000000
Australia,Albion Park,1649,-34.560000000,150.790000000
Australia,Albury,1802,-36.070000000,146.900000000
Australia,Albury / Wodonga,317,-36.070000000,146.960000000
Australia,Alice Springs,323,-23.800000000,133.890000000
Australia,Alyangula,357,-13.980000000,136.430000000
Australia,Ararat,1650,-37.280000000,142.980000000
Australia,Argyle,1256,-33.520000000,115.790000000
Australia,Armidale,358,-30.520000000,151.670000000
Australia,Augusta,359,-34.313300000,115.167500000
Australia,Avalon,1651,-38.030000000,144.480000000
Australia,Ayr / Home Hill,360,-19.620000000,147.380000000
Australia,Bairnsdale,361,-37.880000000,147.570000000
Australia,Ballarat,362,-37.510000000,143.790000000
Australia,Ballina,1652,-28.840000000,153.560000000
Australia,Batemans Bay,363,-35.710000000,150.180000000
Australia,Bathurst,364,-33.430000000,149.560000000
Australia,Beechworth,1653,-36.320000000,146.680000000
Australia,Bega,365,-36.680000000,149.830000000
Australia,Bellerive,1654,-42.870000000,147.370000000
Australia,Ben Lomond,1803,-41.540000000,147.670000000
Australia,Benalla,1655,-36.550000000,146.000000000
Australia,Bendigo,366,-36.740000000,144.320000000
Australia,Bicheno,1804,-41.870000000,148.300000000
Australia,Bondi,1656,-33.880000000,151.270000000
Australia,Borroloola,368,-16.080000000,136.300000000
Australia,Bothwell,1657,-42.380000000,147.000000000
Australia,Bourke,369,-30.090000000,145.940000000
Australia,Bowen,370,-20.020000000,148.220000000
Australia,Bowral,371,-34.490000000,150.400000000
Australia,Bridgetown,372,-33.960000000,116.140000000
Australia,Bridport,1658,-41.000000000,147.390000000
Australia,Brisbane,320,-27.480800000,153.038900000
Australia,Brisbane Airport,2068,-27.391700000,153.129200000
Australia,Brisbane Bayside,1192,-27.490000000,153.200000000
Australia,Broken Hill,373,-31.980000000,141.470000000
Australia,Broome,374,-17.950000000,122.230000000
Australia,Bunbury,375,-33.360000000,115.640000000
Australia,Bundaberg,376,-24.890000000,152.320000000
Australia,Busselton,377,-33.660000000,115.340000000
Australia,Cabramurra,1159,-35.930000000,148.380000000
Australia,Cairns,299,-16.870000000,145.750000000
Australia,Campbell Town [NSW],1660,-34.060000000,150.770000000
Australia,Campbell Town [TAS],1659,-41.930000000,147.490000000
Australia,Canberra,302,-35.308889000,149.200278000
Australia,Canterbury,1805,-33.910000000,151.110000000
Australia,Cape Byron,378,-28.640000000,153.630000000
Australia,Cape Otway,1661,-38.860000000,143.510000000
Australia,Carnarvon,379,-24.880000000,113.670000000
Australia,Casterton,1662,-37.590000000,141.410000000
Australia,Castlemaine,1663,-37.080000000,144.240000000
Australia,Ceduna,380,-32.130000000,133.710000000
Australia,Cerberus,1664,-38.360000000,145.180000000
Australia,Cessnock,1806,-32.790000000,151.340000000
Australia,Charleville,381,-26.410000000,146.260000000
Australia,Charters Towers,382,-20.040000000,146.270000000
Australia,Christmas Island,681,-10.450000000,105.690000000
Australia,Clare,383,-33.840000000,138.610000000
Australia,Clermont,384,-22.830000000,147.640000000
